Date,ID,Customer_Name,Email_Received,Email_Opened,Link_Clicked
9/29/19,C068,Todd Davis,1,0,0
12/25/19,C026,Jerry Green,0,0,0
9/30/19,C109,Craig Reyes,1,1,0
9/10/19,C169,Johnny Butler,0,0,0
1/26/19,C100,Steve Wells,0,0,0
6/24/19,C030,Shawn Cook,0,0,0
1/22/19,C131,Bruce Harris,0,0,0
8/8/19,C066,Matthew Lewis,0,0,0
1/23/19,C059,Douglas Diaz,0,0,0
8/10/19,C214,Wayne Gordon,0,0,0
8/21/19,C248,Jonathan Cox,1,0,0
3/26/19,C146,Russell Boyd,1,1,1
5/2/19,C177,Todd Watson,0,0,0
7/26/19,C167,Daniel Nguyen,0,0,0
9/12/19,C063,Frank Weaver,1,1,0
7/1/19,C162,John Robertson,1,1,0
6/13/19,C223,Scott Mills,1,0,0
9/22/19,C066,Matthew Lewis,1,1,1
12/8/19,C051,Carlos Miller,0,0,0
11/14/19,C162,John Robertson,1,1,0
4/22/19,C141,Henry Reyes,1,1,1
6/18/19,C104,Raymond Burke,0,0,0
1/17/19,C106,Justin Graham,0,0,0
10/31/19,C080,Clarence Greene,1,0,0
10/11/19,C207,Carl Anderson,0,0,0
3/23/19,C250,Arthur Webb,1,1,0
6/27/19,C012,Nicholas Simmons,0,0,0
7/30/19,C184,Willie Mason,1,0,0
8/5/19,C223,Scott Mills,1,0,0
11/14/19,C068,Todd Davis,1,1,0
6/29/19,C236,Michael Ward,1,1,0
12/17/19,C016,Phillip Peters,0,0,0
7/1/19,C072,Henry Elliott,0,0,0
4/2/19,C189,Ryan Taylor,0,0,0
5/5/19,C153,Mark Lee,1,1,1
9/16/19,C018,Benjamin Kim,1,1,1
8/15/19,C084,Richard Hudson,1,0,0
1/7/19,C158,Daniel Barnes,1,0,0
11/14/19,C025,Keith Griffin,0,0,0
11/14/19,C077,Edward Mason,1,1,0
2/19/19,C160,Albert Robinson,0,0,0
9/22/19,C035,Carl Nguyen,0,0,0
3/31/19,C152,Michael Lane,1,0,0
7/8/19,C232,George Ellis,0,0,0
2/21/19,C259,Gregory Jackson,1,1,0
2/20/19,C215,Joseph Lopez,1,1,0
12/20/19,C084,Richard Hudson,0,0,0
9/11/19,C139,Russell Bailey,0,0,0
10/20/19,C180,Juan Scott,1,1,1
10/29/19,C007,Anthony Simpson,1,0,0
2/26/19,C006,Jeremy Vasquez,1,0,0
8/21/19,C178,Wayne Stone,1,0,0
9/26/19,C187,Christopher Wright,0,0,0
12/26/19,C214,Wayne Gordon,1,0,0
1/12/19,C088,Peter Gilbert,0,0,0
3/16/19,C251,Christopher Ramos,0,0,0
9/3/19,C124,Thomas Gonzales,0,0,0
7/4/19,C001,Jesse Evans,0,0,0
9/22/19,C158,Daniel Barnes,1,1,0
8/7/19,C235,Mark Simmons,0,0,0
4/27/19,C179,Matthew Nguyen,1,1,0
4/28/19,C135,Robert Jackson,0,0,0
4/4/19,C231,Gary Baker,1,1,0
4/24/19,C233,Justin Butler,1,1,0
7/8/19,C132,Roy Carpenter,0,0,0
12/22/19,C246,Fred Evans,0,0,0
10/26/19,C055,Jose Williams,0,0,0
4/29/19,C095,Frank Mason,0,0,0
8/17/19,C243,Earl Franklin,1,1,0
6/10/19,C095,Frank Mason,0,0,0
4/16/19,C033,Jonathan Hawkins,1,1,0
7/28/19,C073,Bruce Hamilton,0,0,0
3/4/19,C107,Steven Young,1,0,0
3/19/19,C121,Willie Day,0,0,0
12/30/19,C114,Juan Perez,1,0,0
8/17/19,C209,Juan Ramirez,1,1,1
9/23/19,C206,Eric Shaw,1,0,0
8/19/19,C213,Martin Berry,0,0,0
9/25/19,C056,Aaron Day,1,0,0
9/4/19,C063,Frank Weaver,1,1,1
1/22/19,C100,Steve Wells,0,0,0
6/18/19,C124,Thomas Gonzales,0,0,0
1/9/19,C021,Paul Larson,1,1,1
9/14/19,C080,Clarence Greene,0,0,0
7/7/19,C114,Juan Perez,0,0,0
9/19/19,C218,Sean Alexander,1,1,0
8/23/19,C190,Victor Rogers,0,0,0
12/16/19,C133,Jose Riley,1,1,0
9/2/19,C185,Eric Bowman,1,0,0
9/26/19,C169,Johnny Butler,1,0,0
5/16/19,C169,Johnny Butler,1,1,0
8/25/19,C232,George Ellis,1,1,0
3/19/19,C101,Charles Hughes,0,0,0
7/10/19,C107,Steven Young,1,1,1
1/10/19,C051,Carlos Miller,1,0,0
11/24/19,C252,Roger Tucker,0,0,0
1/31/19,C061,Carlos Martinez,1,1,1
4/24/19,C238,Terry Payne,0,0,0
9/17/19,C218,Sean Alexander,1,1,0
12/12/19,C243,Earl Franklin,1,1,0
11/14/19,C254,Christopher Miller,1,1,1
5/26/19,C012,Nicholas Simmons,0,0,0
5/6/19,C164,Stephen Andrews,1,1,0
8/10/19,C031,George Lewis,0,0,0
6/14/19,C236,Michael Ward,1,0,0
3/24/19,C250,Arthur Webb,0,0,0
6/2/19,C011,Bruce Porter,0,0,0
12/19/19,C186,Henry Stanley,0,0,0
11/14/19,C220,Carl Collins,0,0,0
9/14/19,C070,Larry Ross,0,0,0
1/6/19,C251,Christopher Ramos,0,0,0
5/5/19,C171,Peter Cook,1,0,0
7/3/19,C057,Joe Rose,1,1,1
10/15/19,C197,Peter Castillo,0,0,0
1/27/19,C236,Michael Ward,1,1,1
6/24/19,C237,Richard Peterson,1,0,0
6/3/19,C129,Roy Shaw,0,0,0
4/25/19,C026,Jerry Green,0,0,0
11/26/19,C155,Gregory Welch,0,0,0
1/1/19,C226,Billy Kennedy,1,0,0
1/18/19,C204,Fred Bryant,0,0,0
1/26/19,C007,Anthony Simpson,1,0,0
12/15/19,C185,Eric Bowman,1,0,0
2/18/19,C018,Benjamin Kim,0,0,0
1/20/19,C194,Lawrence Sanchez,1,0,0
2/16/19,C157,Aaron Johnson,1,0,0
10/31/19,C230,Larry Ray,1,0,0
8/16/19,C049,Donald Reynolds,0,0,0
6/23/19,C195,Ernest Knight,1,0,0
6/1/19,C205,Daniel Carroll,0,0,0
7/20/19,C256,Aaron Moreno,0,0,0
12/23/19,C043,Anthony Torres,0,0,0
2/18/19,C061,Carlos Martinez,1,0,0
7/20/19,C084,Richard Hudson,1,1,1
1/26/19,C163,Keith Schmidt,0,0,0
11/19/19,C188,Nicholas Morrison,0,0,0
4/2/19,C097,Sean Black,0,0,0
12/2/19,C202,Joe Carroll,1,1,1
1/18/19,C246,Fred Evans,0,0,0
12/11/19,C006,Jeremy Vasquez,0,0,0
5/10/19,C246,Fred Evans,1,1,0
1/2/19,C223,Scott Mills,0,0,0
11/7/19,C152,Michael Lane,0,0,0
8/9/19,C177,Todd Watson,1,1,0
6/1/19,C124,Thomas Gonzales,1,0,0
12/16/19,C004,Dennis Morris,1,0,0
11/1/19,C001,Jesse Evans,1,1,0
5/14/19,C232,George Ellis,1,0,0
3/27/19,C173,Adam Wheeler,1,0,0
6/8/19,C075,Paul Chapman,1,1,1
11/7/19,C255,Gregory Porter,0,0,0
3/30/19,C243,Earl Franklin,1,0,0
2/2/19,C253,Clarence Austin,1,0,0
8/31/19,C083,Raymond Barnes,0,0,0
1/4/19,C081,Eric Ward,0,0,0
6/16/19,C227,Ralph Banks,1,0,0
8/16/19,C139,Russell Bailey,1,1,1
10/17/19,C193,Victor Gutierrez,1,1,1
9/14/19,C250,Arthur Webb,0,0,0
5/25/19,C126,Nicholas Williamson,0,0,0
12/23/19,C083,Raymond Barnes,0,0,0
6/11/19,C190,Victor Rogers,0,0,0
11/13/19,C046,Douglas Tucker,1,1,1
10/28/19,C127,Thomas Holmes,1,1,1
3/13/19,C131,Bruce Harris,0,0,0
7/21/19,C218,Sean Alexander,0,0,0
7/1/19,C037,Paul Holmes,0,0,0
4/24/19,C257,Charles Montgomery,1,0,0
11/8/19,C024,Adam Hernandez,0,0,0
6/15/19,C016,Phillip Peters,1,1,1
5/30/19,C168,Benjamin Carpenter,0,0,0
12/19/19,C038,Roger Alexander,0,0,0
12/16/19,C226,Billy Kennedy,1,0,0
3/13/19,C055,Jose Williams,1,0,0
4/9/19,C030,Shawn Cook,1,0,0
5/14/19,C056,Aaron Day,1,1,1
1/28/19,C113,Adam Riley,1,0,0
2/18/19,C111,Howard Morgan,0,0,0
11/3/19,C245,Anthony Parker,0,0,0
10/10/19,C169,Johnny Butler,0,0,0
9/28/19,C190,Victor Rogers,1,0,0
9/25/19,C010,Bobby Burton,0,0,0
7/7/19,C235,Mark Simmons,1,0,0
8/1/19,C160,Albert Robinson,1,1,0
1/29/19,C144,Louis Johnston,0,0,0
9/4/19,C173,Adam Wheeler,1,1,1
1/24/19,C261,Raymond Allen,0,0,0
