Date,ID,Customer_Name,Product_ID,Product,Sales
4/6/19,C258,Daniel Perry,281914369-5,Web Hosting,760
11/10/19,C212,Wayne Gardner,271951398-9,Power BI Consulting,610
10/20/19,C177,Todd Watson,788959641-3,Networking,916
6/19/19,C191,Nicholas Ward,094714157-X,Consulting,123
12/9/19,C144,Louis Johnston,094714157-X,Consulting,104
4/26/19,C085,Ralph Kelley,094714157-X,Consulting,677
3/27/19,C190,Victor Rogers,788959641-3,Networking,782
1/6/19,C008,Ernest Rivera,788959641-3,Networking,572
1/3/19,C138,Daniel Fernandez,788959641-3,Networking,826
3/15/19,C257,Charles Montgomery,281914369-5,Web Hosting,398
7/17/19,C073,Bruce Hamilton,094714157-X,Consulting,124
6/16/19,C024,Adam Hernandez,782417101-9,AWS Consulting,404
11/5/19,C114,Juan Perez,788959641-3,Networking,152
6/18/19,C067,Gerald Alvarez,733547075-7,Web Design,311
9/9/19,C178,Wayne Stone,782417101-9,AWS Consulting,92
6/15/19,C119,Thomas Duncan,542176934-8,Financial Reporting,645
10/5/19,C244,Harry Hudson,788959641-3,Networking,217
3/23/19,C069,Nicholas Stanley,782417101-9,AWS Consulting,936
2/16/19,C110,Samuel Price,542176934-8,Financial Reporting,899
3/27/19,C044,Samuel Fowler,094714157-X,Consulting,229
5/28/19,C049,Donald Reynolds,949632246-8,Azure Consulting,603
8/10/19,C142,Phillip Harvey,094714157-X,Consulting,652
4/18/19,C185,Eric Bowman,949632246-8,Azure Consulting,363
1/9/19,C060,Thomas Sims,949632246-8,Azure Consulting,367
5/24/19,C141,Henry Reyes,542176934-8,Financial Reporting,924
10/24/19,C038,Roger Alexander,733547075-7,Web Design,671
5/28/19,C043,Anthony Torres,941254104-X,Element Training,544
10/7/19,C072,Henry Elliott,788959641-3,Networking,332
3/19/19,C097,Sean Black,847676762-5,Linux Consulting,725
6/15/19,C257,Charles Montgomery,733547075-7,Web Design,461
6/8/19,C238,Terry Payne,782417101-9,AWS Consulting,896
1/26/19,C145,Randy Simpson,788959641-3,Networking,356
5/9/19,C069,Nicholas Stanley,094714157-X,Consulting,598
2/13/19,C097,Sean Black,094714157-X,Consulting,271
6/2/19,C203,Gregory Boyd,281914369-5,Web Hosting,486
5/31/19,C029,Joshua Bennett,847676762-5,Linux Consulting,849
9/12/19,C100,Steve Wells,281914369-5,Web Hosting,600
3/23/19,C233,Justin Butler,271951398-9,Power BI Consulting,966
12/11/19,C221,Ryan Ford,094714157-X,Consulting,460
8/3/19,C068,Todd Davis,542176934-8,Financial Reporting,880
3/4/19,C029,Joshua Bennett,094714157-X,Consulting,890
1/23/19,C116,Brandon Martin,094714157-X,Consulting,176
12/3/19,C056,Aaron Day,094714157-X,Consulting,877
6/3/19,C070,Larry Ross,271951398-9,Power BI Consulting,830
8/13/19,C249,Daniel Dixon,733547075-7,Web Design,631
2/26/19,C157,Aaron Johnson,271951398-9,Power BI Consulting,469
8/11/19,C004,Dennis Morris,941254104-X,Element Training,717
9/16/19,C085,Ralph Kelley,782417101-9,AWS Consulting,382
12/13/19,C170,Jason Diaz,788959641-3,Networking,96
10/26/19,C038,Roger Alexander,271951398-9,Power BI Consulting,105
11/14/19,C175,Wayne Rodriguez,094714157-X,Consulting,109
6/6/19,C191,Nicholas Ward,782417101-9,AWS Consulting,685
7/18/19,C161,Fred Romero,542176934-8,Financial Reporting,70
12/30/19,C250,Arthur Webb,542176934-8,Financial Reporting,718
9/6/19,C103,Samuel Stewart,847676762-5,Linux Consulting,833
3/14/19,C094,Jeremy Arnold,782417101-9,AWS Consulting,875
11/16/19,C139,Russell Bailey,733547075-7,Web Design,513
5/4/19,C005,Gregory Simmons,281914369-5,Web Hosting,527
11/30/19,C263,Jesse Alvarez,271951398-9,Power BI Consulting,206
12/20/19,C096,George Stanley,542176934-8,Financial Reporting,721
5/26/19,C068,Todd Davis,949632246-8,Azure Consulting,455
7/10/19,C214,Wayne Gordon,949632246-8,Azure Consulting,537
5/7/19,C233,Justin Butler,271951398-9,Power BI Consulting,907
12/23/19,C033,Jonathan Hawkins,542176934-8,Financial Reporting,587
9/16/19,C259,Gregory Jackson,941254104-X,Element Training,97
11/2/19,C228,Raymond Fields,542176934-8,Financial Reporting,211
12/2/19,C079,Michael Lewis,847676762-5,Linux Consulting,447
12/16/19,C118,Sean Olson,847676762-5,Linux Consulting,645
12/1/19,C156,Joshua Anderson,733547075-7,Web Design,211
1/5/19,C149,Todd Price,788959641-3,Networking,234
4/5/19,C227,Ralph Banks,281914369-5,Web Hosting,503
8/5/19,C006,Jeremy Vasquez,941254104-X,Element Training,338
4/17/19,C086,Joshua Williams,281914369-5,Web Hosting,808
4/17/19,C069,Nicholas Stanley,542176934-8,Financial Reporting,638
6/12/19,C089,Patrick Rivera,788959641-3,Networking,803
3/18/19,C033,Jonathan Hawkins,941254104-X,Element Training,56
3/1/19,C172,Joshua Romero,094714157-X,Consulting,48
10/7/19,C156,Joshua Anderson,847676762-5,Linux Consulting,134
1/8/19,C169,Johnny Butler,941254104-X,Element Training,121
9/28/19,C153,Mark Lee,941254104-X,Element Training,103
1/16/19,C115,Brian Taylor,733547075-7,Web Design,266
12/12/19,C013,Bruce Butler,733547075-7,Web Design,608
4/6/19,C029,Joshua Bennett,941254104-X,Element Training,462
12/4/19,C249,Daniel Dixon,094714157-X,Consulting,901
1/13/19,C080,Clarence Greene,847676762-5,Linux Consulting,507
8/6/19,C213,Martin Berry,271951398-9,Power BI Consulting,85
9/8/19,C001,Jesse Evans,094714157-X,Consulting,702
10/4/19,C259,Gregory Jackson,271951398-9,Power BI Consulting,486
6/16/19,C076,Eric Armstrong,094714157-X,Consulting,93
10/24/19,C217,Jimmy Harper,949632246-8,Azure Consulting,652
11/1/19,C078,Eugene Brooks,733547075-7,Web Design,282
3/14/19,C091,Matthew Fernandez,271951398-9,Power BI Consulting,111
10/2/19,C193,Victor Gutierrez,733547075-7,Web Design,487
5/4/19,C036,Todd Roberts,094714157-X,Consulting,934
4/7/19,C176,Donald Collins,788959641-3,Networking,202
2/12/19,C144,Louis Johnston,281914369-5,Web Hosting,267
8/11/19,C111,Howard Morgan,788959641-3,Networking,516
3/2/19,C121,Willie Day,271951398-9,Power BI Consulting,581
11/2/19,C208,Kevin Kim,733547075-7,Web Design,341
7/5/19,C040,Frank Brown,788959641-3,Networking,889
5/16/19,C254,Christopher Miller,094714157-X,Consulting,684
5/3/19,C004,Dennis Morris,941254104-X,Element Training,106
3/20/19,C216,Jonathan Freeman,271951398-9,Power BI Consulting,942
12/7/19,C061,Carlos Martinez,847676762-5,Linux Consulting,816
8/28/19,C120,Juan Lawrence,733547075-7,Web Design,856
1/17/19,C156,Joshua Anderson,788959641-3,Networking,957
8/23/19,C049,Donald Reynolds,733547075-7,Web Design,424
3/26/19,C020,Steve Diaz,542176934-8,Financial Reporting,444
4/8/19,C091,Matthew Fernandez,542176934-8,Financial Reporting,151
12/14/19,C237,Richard Peterson,949632246-8,Azure Consulting,932
12/15/19,C155,Gregory Welch,847676762-5,Linux Consulting,296
6/19/19,C036,Todd Roberts,281914369-5,Web Hosting,699
4/28/19,C155,Gregory Welch,271951398-9,Power BI Consulting,22
10/6/19,C033,Jonathan Hawkins,542176934-8,Financial Reporting,639
11/1/19,C074,Eugene Sims,281914369-5,Web Hosting,517
2/17/19,C061,Carlos Martinez,271951398-9,Power BI Consulting,292
8/26/19,C013,Bruce Butler,788959641-3,Networking,716
1/23/19,C201,Steve Sanchez,847676762-5,Linux Consulting,378
5/7/19,C149,Todd Price,733547075-7,Web Design,983
8/10/19,C001,Jesse Evans,281914369-5,Web Hosting,90
6/3/19,C028,Stephen Payne,271951398-9,Power BI Consulting,923
5/22/19,C189,Ryan Taylor,941254104-X,Element Training,221
9/10/19,C151,Antonio Morris,094714157-X,Consulting,313
11/11/19,C163,Keith Schmidt,847676762-5,Linux Consulting,861
1/20/19,C153,Mark Lee,733547075-7,Web Design,606
7/24/19,C157,Aaron Johnson,281914369-5,Web Hosting,332
3/21/19,C075,Paul Chapman,271951398-9,Power BI Consulting,774
5/26/19,C189,Ryan Taylor,271951398-9,Power BI Consulting,284
5/4/19,C226,Billy Kennedy,094714157-X,Consulting,167
4/6/19,C081,Eric Ward,949632246-8,Azure Consulting,556
9/13/19,C203,Gregory Boyd,847676762-5,Linux Consulting,688
6/20/19,C164,Stephen Andrews,271951398-9,Power BI Consulting,999
11/4/19,C073,Bruce Hamilton,788959641-3,Networking,822
11/9/19,C235,Mark Simmons,949632246-8,Azure Consulting,245
11/3/19,C195,Ernest Knight,847676762-5,Linux Consulting,827
7/8/19,C209,Juan Ramirez,782417101-9,AWS Consulting,260
7/17/19,C205,Daniel Carroll,782417101-9,AWS Consulting,328
6/26/19,C155,Gregory Welch,782417101-9,AWS Consulting,304
1/17/19,C074,Eugene Sims,941254104-X,Element Training,261
11/21/19,C138,Daniel Fernandez,847676762-5,Linux Consulting,430
9/17/19,C209,Juan Ramirez,782417101-9,AWS Consulting,724
5/16/19,C046,Douglas Tucker,271951398-9,Power BI Consulting,564
6/9/19,C232,George Ellis,788959641-3,Networking,292
10/12/19,C236,Michael Ward,271951398-9,Power BI Consulting,115
1/26/19,C101,Charles Hughes,941254104-X,Element Training,619
6/5/19,C140,Billy Evans,788959641-3,Networking,350
2/13/19,C187,Christopher Wright,941254104-X,Element Training,796
6/13/19,C261,Raymond Allen,542176934-8,Financial Reporting,240
3/5/19,C164,Stephen Andrews,847676762-5,Linux Consulting,484
1/19/19,C126,Nicholas Williamson,941254104-X,Element Training,278
9/11/19,C028,Stephen Payne,788959641-3,Networking,724
8/26/19,C088,Peter Gilbert,941254104-X,Element Training,576
1/19/19,C068,Todd Davis,782417101-9,AWS Consulting,333
3/24/19,C225,Eric Moore,949632246-8,Azure Consulting,367
1/8/19,C098,Louis White,847676762-5,Linux Consulting,821
5/13/19,C156,Joshua Anderson,847676762-5,Linux Consulting,427
2/1/19,C153,Mark Lee,281914369-5,Web Hosting,599
11/4/19,C224,Andrew Butler,271951398-9,Power BI Consulting,358
3/29/19,C201,Steve Sanchez,847676762-5,Linux Consulting,692
9/23/19,C143,Justin Rodriguez,782417101-9,AWS Consulting,547
3/6/19,C151,Antonio Morris,941254104-X,Element Training,309
4/13/19,C148,Jerry Andrews,782417101-9,AWS Consulting,287
1/15/19,C206,Eric Shaw,281914369-5,Web Hosting,47
3/31/19,C071,James Foster,941254104-X,Element Training,393
2/12/19,C082,Edward Wright,788959641-3,Networking,412
3/24/19,C225,Eric Moore,271951398-9,Power BI Consulting,313
3/1/19,C174,Peter Wells,733547075-7,Web Design,188
4/1/19,C161,Fred Romero,949632246-8,Azure Consulting,539
3/26/19,C153,Mark Lee,281914369-5,Web Hosting,482
10/4/19,C108,Gerald Henry,733547075-7,Web Design,796
3/8/19,C042,Nicholas Cunningham,542176934-8,Financial Reporting,834
8/3/19,C230,Larry Ray,788959641-3,Networking,412
4/11/19,C207,Carl Anderson,949632246-8,Azure Consulting,572
9/6/19,C020,Steve Diaz,788959641-3,Networking,653
7/4/19,C147,Louis Torres,542176934-8,Financial Reporting,140
8/7/19,C202,Joe Carroll,094714157-X,Consulting,220
7/27/19,C025,Keith Griffin,949632246-8,Azure Consulting,373
2/3/19,C112,Jason Gray,542176934-8,Financial Reporting,876
8/25/19,C245,Anthony Parker,788959641-3,Networking,838
4/15/19,C166,Shawn Snyder,094714157-X,Consulting,161
5/23/19,C214,Wayne Gordon,941254104-X,Element Training,578
3/20/19,C159,Steven Howard,094714157-X,Consulting,430
10/3/19,C174,Peter Wells,271951398-9,Power BI Consulting,939
10/18/19,C229,Brandon Wright,542176934-8,Financial Reporting,871
8/16/19,C007,Anthony Simpson,782417101-9,AWS Consulting,563
6/24/19,C104,Raymond Burke,782417101-9,AWS Consulting,261
5/8/19,C057,Joe Rose,788959641-3,Networking,365
2/11/19,C176,Donald Collins,733547075-7,Web Design,190
8/18/19,C135,Robert Jackson,847676762-5,Linux Consulting,249
11/4/19,C146,Russell Boyd,281914369-5,Web Hosting,673
5/12/19,C037,Paul Holmes,941254104-X,Element Training,968
1/3/19,C245,Anthony Parker,941254104-X,Element Training,963
5/28/19,C225,Eric Moore,733547075-7,Web Design,235
5/19/19,C101,Charles Hughes,542176934-8,Financial Reporting,909
5/23/19,C091,Matthew Fernandez,542176934-8,Financial Reporting,903
3/31/19,C132,Roy Carpenter,271951398-9,Power BI Consulting,451
12/21/19,C223,Scott Mills,941254104-X,Element Training,219
2/6/19,C147,Louis Torres,281914369-5,Web Hosting,954
3/22/19,C161,Fred Romero,847676762-5,Linux Consulting,37
1/13/19,C157,Aaron Johnson,542176934-8,Financial Reporting,580
1/3/19,C036,Todd Roberts,542176934-8,Financial Reporting,612
1/11/19,C055,Jose Williams,281914369-5,Web Hosting,623
8/2/19,C093,Gerald Rogers,281914369-5,Web Hosting,704
9/27/19,C140,Billy Evans,788959641-3,Networking,790
9/28/19,C027,Chris Armstrong,941254104-X,Element Training,462
7/15/19,C066,Matthew Lewis,949632246-8,Azure Consulting,864
3/9/19,C169,Johnny Butler,949632246-8,Azure Consulting,851
10/27/19,C172,Joshua Romero,788959641-3,Networking,924
2/5/19,C003,Mark Montgomery,733547075-7,Web Design,540
12/1/19,C253,Clarence Austin,542176934-8,Financial Reporting,407
12/14/19,C124,Thomas Gonzales,847676762-5,Linux Consulting,184
1/18/19,C146,Russell Boyd,281914369-5,Web Hosting,454
1/30/19,C104,Raymond Burke,847676762-5,Linux Consulting,781
3/20/19,C210,Samuel Palmer,941254104-X,Element Training,496
7/25/19,C069,Nicholas Stanley,941254104-X,Element Training,675
12/13/19,C139,Russell Bailey,271951398-9,Power BI Consulting,882
6/3/19,C183,Douglas Greene,094714157-X,Consulting,907
4/21/19,C130,Keith Murphy,281914369-5,Web Hosting,59
3/18/19,C168,Benjamin Carpenter,788959641-3,Networking,446
7/8/19,C068,Todd Davis,788959641-3,Networking,546
6/18/19,C042,Nicholas Cunningham,733547075-7,Web Design,324
3/20/19,C097,Sean Black,949632246-8,Azure Consulting,940
8/11/19,C117,Jason Hudson,542176934-8,Financial Reporting,651
2/24/19,C208,Kevin Kim,281914369-5,Web Hosting,460
4/21/19,C257,Charles Montgomery,782417101-9,AWS Consulting,221
9/19/19,C243,Earl Franklin,271951398-9,Power BI Consulting,614
4/13/19,C262,Victor Lawson,542176934-8,Financial Reporting,832
11/15/19,C189,Ryan Taylor,733547075-7,Web Design,589
3/11/19,C176,Donald Collins,733547075-7,Web Design,30
2/20/19,C173,Adam Wheeler,271951398-9,Power BI Consulting,850
1/15/19,C163,Keith Schmidt,941254104-X,Element Training,404
10/13/19,C171,Peter Cook,094714157-X,Consulting,293
2/24/19,C193,Victor Gutierrez,788959641-3,Networking,994
6/13/19,C038,Roger Alexander,271951398-9,Power BI Consulting,919
10/15/19,C103,Samuel Stewart,271951398-9,Power BI Consulting,391
9/29/19,C238,Terry Payne,281914369-5,Web Hosting,979
11/21/19,C138,Daniel Fernandez,949632246-8,Azure Consulting,178
8/4/19,C096,George Stanley,788959641-3,Networking,858
7/7/19,C045,Joe Price,949632246-8,Azure Consulting,494
5/11/19,C121,Willie Day,733547075-7,Web Design,172
12/8/19,C108,Gerald Henry,847676762-5,Linux Consulting,416
1/20/19,C078,Eugene Brooks,788959641-3,Networking,79
7/25/19,C228,Raymond Fields,733547075-7,Web Design,336
2/22/19,C045,Joe Price,782417101-9,AWS Consulting,536
1/8/19,C040,Frank Brown,271951398-9,Power BI Consulting,881
9/14/19,C189,Ryan Taylor,941254104-X,Element Training,138
2/25/19,C247,Ronald Bradley,949632246-8,Azure Consulting,945
1/7/19,C055,Jose Williams,094714157-X,Consulting,518
9/23/19,C142,Phillip Harvey,949632246-8,Azure Consulting,660
11/10/19,C080,Clarence Greene,847676762-5,Linux Consulting,893
2/19/19,C046,Douglas Tucker,788959641-3,Networking,605
12/23/19,C202,Joe Carroll,949632246-8,Azure Consulting,914
5/16/19,C079,Michael Lewis,941254104-X,Element Training,609
8/14/19,C249,Daniel Dixon,941254104-X,Element Training,822
1/9/19,C186,Henry Stanley,281914369-5,Web Hosting,753
1/21/19,C006,Jeremy Vasquez,941254104-X,Element Training,907
2/26/19,C059,Douglas Diaz,941254104-X,Element Training,544
6/13/19,C090,Brian Warren,788959641-3,Networking,536
3/29/19,C071,James Foster,733547075-7,Web Design,356
7/16/19,C088,Peter Gilbert,941254104-X,Element Training,225
7/20/19,C147,Louis Torres,542176934-8,Financial Reporting,610
12/29/19,C213,Martin Berry,271951398-9,Power BI Consulting,645
8/27/19,C189,Ryan Taylor,782417101-9,AWS Consulting,340
5/25/19,C180,Juan Scott,782417101-9,AWS Consulting,565
12/9/19,C171,Peter Cook,733547075-7,Web Design,923
3/6/19,C097,Sean Black,847676762-5,Linux Consulting,858
4/27/19,C212,Wayne Gardner,847676762-5,Linux Consulting,417
1/5/19,C105,Clarence Cunningham,271951398-9,Power BI Consulting,399
7/3/19,C219,Charles Fields,788959641-3,Networking,488
7/4/19,C019,Shawn Long,094714157-X,Consulting,299
7/8/19,C046,Douglas Tucker,281914369-5,Web Hosting,82
2/10/19,C025,Keith Griffin,542176934-8,Financial Reporting,815
5/15/19,C151,Antonio Morris,271951398-9,Power BI Consulting,275
8/31/19,C154,George Adams,733547075-7,Web Design,44
1/4/19,C170,Jason Diaz,949632246-8,Azure Consulting,834
12/24/19,C233,Justin Butler,788959641-3,Networking,807
12/31/19,C227,Ralph Banks,094714157-X,Consulting,661
5/5/19,C004,Dennis Morris,941254104-X,Element Training,982
7/19/19,C189,Ryan Taylor,782417101-9,AWS Consulting,799
11/28/19,C215,Joseph Lopez,733547075-7,Web Design,667
10/27/19,C222,Juan Hunt,733547075-7,Web Design,99
4/19/19,C258,Daniel Perry,733547075-7,Web Design,955
8/28/19,C092,Wayne Ortiz,271951398-9,Power BI Consulting,382
11/26/19,C158,Daniel Barnes,542176934-8,Financial Reporting,711
2/18/19,C189,Ryan Taylor,281914369-5,Web Hosting,890
9/15/19,C249,Daniel Dixon,281914369-5,Web Hosting,963
8/17/19,C252,Roger Tucker,949632246-8,Azure Consulting,323
8/20/19,C142,Phillip Harvey,782417101-9,AWS Consulting,251
3/29/19,C230,Larry Ray,281914369-5,Web Hosting,499
9/22/19,C209,Juan Ramirez,847676762-5,Linux Consulting,828
10/21/19,C181,Howard Lynch,847676762-5,Linux Consulting,977
8/23/19,C197,Peter Castillo,941254104-X,Element Training,739
11/2/19,C077,Edward Mason,847676762-5,Linux Consulting,764
4/29/19,C177,Todd Watson,094714157-X,Consulting,983
2/3/19,C248,Jonathan Cox,271951398-9,Power BI Consulting,855
10/14/19,C157,Aaron Johnson,271951398-9,Power BI Consulting,323
8/28/19,C043,Anthony Torres,094714157-X,Consulting,675
5/14/19,C010,Bobby Burton,733547075-7,Web Design,591
9/17/19,C033,Jonathan Hawkins,281914369-5,Web Hosting,321
12/13/19,C111,Howard Morgan,733547075-7,Web Design,428
5/12/19,C212,Wayne Gardner,847676762-5,Linux Consulting,195
12/7/19,C007,Anthony Simpson,847676762-5,Linux Consulting,811
3/25/19,C179,Matthew Nguyen,094714157-X,Consulting,624
12/28/19,C123,Jeremy Peterson,281914369-5,Web Hosting,799
9/4/19,C207,Carl Anderson,782417101-9,AWS Consulting,393
11/25/19,C260,Edward Walker,941254104-X,Element Training,455
10/28/19,C089,Patrick Rivera,941254104-X,Element Training,237
12/16/19,C027,Chris Armstrong,782417101-9,AWS Consulting,683
10/16/19,C083,Raymond Barnes,788959641-3,Networking,890
10/12/19,C093,Gerald Rogers,542176934-8,Financial Reporting,728
10/14/19,C168,Benjamin Carpenter,788959641-3,Networking,267
7/10/19,C069,Nicholas Stanley,782417101-9,AWS Consulting,258
12/25/19,C235,Mark Simmons,733547075-7,Web Design,479
10/11/19,C180,Juan Scott,281914369-5,Web Hosting,399
4/20/19,C184,Willie Mason,542176934-8,Financial Reporting,298
9/13/19,C043,Anthony Torres,542176934-8,Financial Reporting,336
7/14/19,C051,Carlos Miller,941254104-X,Element Training,951
2/19/19,C005,Gregory Simmons,542176934-8,Financial Reporting,45
6/16/19,C060,Thomas Sims,788959641-3,Networking,374
10/17/19,C064,Philip Wheeler,281914369-5,Web Hosting,362
11/3/19,C057,Joe Rose,733547075-7,Web Design,361
9/16/19,C115,Brian Taylor,542176934-8,Financial Reporting,662
7/3/19,C207,Carl Anderson,941254104-X,Element Training,274
8/6/19,C097,Sean Black,281914369-5,Web Hosting,567
10/30/19,C172,Joshua Romero,941254104-X,Element Training,277
10/15/19,C236,Michael Ward,788959641-3,Networking,544
5/22/19,C083,Raymond Barnes,782417101-9,AWS Consulting,1000
11/8/19,C079,Michael Lewis,949632246-8,Azure Consulting,458
8/2/19,C148,Jerry Andrews,847676762-5,Linux Consulting,526
3/6/19,C083,Raymond Barnes,941254104-X,Element Training,274
6/30/19,C233,Justin Butler,281914369-5,Web Hosting,624
12/16/19,C099,Jack Stevens,949632246-8,Azure Consulting,485
3/31/19,C060,Thomas Sims,271951398-9,Power BI Consulting,66
7/13/19,C232,George Ellis,271951398-9,Power BI Consulting,95
